"","version","triwales","serial","hhold2","spoint","moi","intnum","tnc","respoutc","duno","filter","dusela","duselb","duselc","duseld","dusele","duself","numadult","neligibl","perssel","langaskd","intvrefd","langcond","strttime","langintw","readpap","whpaper1","whpaper2","whpaper3","bbc1wale","bbc1othr","bbc2","htvwales","itvother","channel4","s4c","channel5","skynews","othchanl","tvnever","refcare","polinrst","refvoted","refdecid","refvote","reftaxvt","nvrefvot","nvreftax","voteref","canvasrf","sctfcanv","thnkcanv","yfwcanv","jsnocanv","concanv","labcanv","ldcanv","snpcanv","pccanv","grncanv","othcanv","dkcanv","phcanvrf","sctfphcv","thnkphcv","yfwphcv","jsnophcv","conphcv","labphcv","ldphcv","snpphcv","pcphcv","grnphcv","othphcv","dkphcv","summary","dfwnge","dfwnrf","labfeel","confeel","ldfeel","snpfeel","pcfeel","contrust","labtrust","ldtrust","snptrust","pctrust","labrcmd","labrcmdt","conrcmd","conrcmdt","ldrcmd","ldrcmdt","snprcmd","snprcmdt","pcrcmd","labdivdr","condivdr","lddivdr","snpdivdr","pcdivdr","welshres","propospr","propostx","propospp","proposmp","proposdp","proposbg","proposdf","refquiz","rrefrvw1","rrefrvw2","conrefvw","labrefvw","ldrefvw","snprefvw","pcrefvw","elsewhvw","srrefvw1","srrefvw2","sconrfvw","slabrfvw","sldrfvw","ssnprfvw","selsevw","wrrefvw1","wrrefvw2","wconrfvw","wlabrfvw","wldrfvw","wpcrfvw","welsevw","leaveuk","voiceuk","voiceeu","morpride","sayingov","incrssol","imprved","rgimp1st","rgimp2nd","rgimpnot","labdomin","sthdomin","cntdomin","domin","jobpolit","cost2mch","welspeak","welquang","natbalan","natborn","natlive","natances","natspeak","srclass","srclass2","srsoccl","natmidcl","natwcl","gbpride","natpride","engdecid","scspirit","scgaelic","sctartan","scmusic","scwallac","sclands","wlspirit","wllang","wlmalech","wleisted","wlrugbyt","wllands","wlchapel","eugood","ukbeneft","rwelshsp","rwelhome","spswelsp","chdwelsp","parwelsp","gprwelsp","welschl","wllivlan","rsex","rage","ragecat","rsexage","religion","religsum","famrelig","rlfamsum","chattend","partysup","partycls","partyid","idstrng","natbrit","nateng","nateuro","natirish","natni","natscot","natwelsh","natoth","natnone","bnation","raceori2","rborn","rliveels","nghbrhd","tenure","tenure2","dadvoted","mumvoted","reconact","rlastjob","remplyee","rsupman","rocsect2","rempwke","rempwks","rsoc","rempstat","rsic92","rmingrp","rsmajgrp","rmajgrp","rseg","rseggrp","rsocclas","rrgclass","rghclass","rghgrp","rsic92gp","rempwork","rjbhrsi","rjbhrcat","rpartful","unionsa","unionsa2","marstat2","marstat","suniosa2","seconact","slastjob","semploye","ssupman","socsect2","sempwke","sempwks","ssoc","sempstat","ssic92","smingrp","ssmajgrp","smajgrp","sseg","sseggrp","ssocclas","srgclass","sghclass","sghgrp","ssic92gp","sempwork","sjbhrcat","spartful","sunionsa","sjbhrsi","maininc","hhincome","tea2","schqual","edqual1","edqual2","edqual3","edqual4","pschqual","edqual5","edqual6","edqual10","edqual11","edqual12","edqual13","edqual14","edqual15","edqual16","edqual17","edqual18","edqual19","edqual20","edqual21","edqual22","edqual23","edqual24","edqual25","hedqual","vote97","rgovtnow","phone","phonebck","stable","scxplain","intcompt","duration","dateint","dateintd","dateintm","dateinty","selfcomp","persno","stregion","popden","wealth1","richlaw","tradvals","censor","notruns","prentbst","pubownst","govjob","protmeet","gaysex","tolerant","banparty","govnosay","voteonly","govcomp","losetch","voteintr","ptyntmat","taxsoc2","eupolicy","ecuview","proprep","proprnat","ukintnat","natinnat","scotmps","natunemp","nattaxes","natecony","natnhs","nateduc","scpwelf","natprosp","natpros5","indepent","qtime","sqdate2","leftrigh","libauth","pano","newparl","newparln","censuscc","ccname","newdc","ndcname","ndcward","nwname","censusdc","dcname","ward","wardname","wtfactor","constpre","triids"
"1",2,2,211481,1,38,1,2307,4,51,1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,-2,1,1500,1,1,1,5,-2,2,1,2,2,1,1,2,2,1,1,2,2,3,2,-2,-2,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,2,3,2,NA,2,4,3,3,NA,2,1,NA,2,NA,3,NA,NA,NA,3,1,2,2,NA,1,1,1,8,2,8,8,1,1,4,5,4,5,3,8,NA,3,3,NA,NA,NA,NA,NA,NA,NA,5,4,5,3,8,3,3,3,3,3,1,3,3,3,6,2,7,3,2,NA,2,3,1,1,3,4,1,1,3,3,4,2,2,-1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,4,4,2,1,1,1,2,2,3,-2,3,4,2,3,4,2,2,26,2,10,0,5,3,1,7,3,-1,3,3,1,2,2,2,2,2,1,2,2,7,9,2,1,1,2,1,97,97,3,-3,1,2,1,2,-1,553,8,17,55,14,5,8,5,3,4,8,4,4,2,40,4,1,3,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,16,1,1,2,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,3,2,1,1,1,1,1528,28,270997,27,9,97,61,2,10,3.85,4,2,2,2,5,3,1,3,4,3,3,4,2,2,2,4,3,3,3,2,3,2,3,3,3,NA,3,3,3,3,3,NA,2,4,2,1,2809,2,2.33333333333333,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FX","Saltney",1.39153484097089,1,3
"2",2,2,211501,1,38,1,2307,9,51,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-2,1,1403,1,1,5,26,-2,2,1,1,2,1,1,2,1,1,1,2,2,3,2,-2,-2,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,3,4,NA,5,8,8,8,NA,2,8,NA,8,NA,8,NA,NA,NA,8,8,8,8,NA,8,1,1,1,2,8,2,1,1,6,5,8,8,8,8,NA,8,4,NA,NA,NA,NA,NA,NA,NA,5,8,8,8,8,8,4,1,1,3,8,3,3,3,1,5,7,8,8,NA,8,8,8,8,8,6,1,3,2,4,4,8,8,-2,-2,1,5,3,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,8,2,3,-2,3,2,3,3,4,4,2,40,3,11,0,5,3,1,4,1,-1,1,2,1,1,1,2,2,2,2,2,2,2,9,3,1,4,3,2,1,1,3,-3,1,3,1,4,-1,720,9,52,72,18,7,6,4,3,3,4,2,7,4,20,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,16,1,0,2,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,2,1,1435,32,91097,9,10,97,61,NA,10,3.85,5,1,1,2,1,1,4,3,3,3,2,4,4,2,3,2,3,3,3,2,3,1,1,3,1,NA,3,3,3,3,3,NA,1,3,3,1,910,3.16666666666667,2.5,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FX","Saltney",1.84169045745466,1,NA
"3",2,2,211521,1,38,1,2307,1,51,1,-1,-1,-1,-1,-1,-1,-1,3,3,2,1,-2,1,1125,1,2,-1,-1,-1,1,1,2,1,1,2,2,2,2,2,2,8,2,2,-2,-2,NA,8,NA,97,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,1,2,NA,5,4,3,4,NA,4,8,NA,8,NA,8,NA,NA,NA,1,1,1,3,NA,1,1,1,1,2,2,2,2,1,6,4,5,8,8,8,NA,1,3,NA,NA,NA,NA,NA,NA,NA,4,5,8,8,8,1,3,2,3,1,3,3,2,1,5,6,7,4,1,NA,1,1,1,1,3,5,1,2,2,1,2,-1,2,-1,3,2,5,3,NA,NA,NA,NA,NA,NA,5,2,1,2,1,1,5,1,1,3,-2,1,1,4,4,1,2,2,47,4,12,3,1,3,1,4,1,-1,1,2,2,1,1,2,2,2,2,2,2,2,9,3,1,12,2,1,98,98,3,-3,2,-2,-2,-1,3,958,1,74,95,22,9,1,2,5,6,1,1,11,3,60,4,1,3,3,1,1,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,15,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,97,0,1,1,2,1,1225,50,240997,24,9,97,61,2,10,3.85,4,5,3,2,2,2,5,2,3,4,2,3,3,3,9,2,3,3,3,2,9,2,2,3,3,NA,4,2,4,2,2,NA,1,2,3,2,2409,3.66666666666667,3.16666666666667,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FT","North and East Broughton",1.76464790904893,2,3
"4",2,2,211551,1,38,1,2307,6,51,1,-1,-1,-1,-1,-1,-1,-1,2,1,-1,1,-2,1,2000,1,2,-1,-1,-1,2,1,2,2,1,2,2,2,2,2,2,2,2,1,3,2,NA,-2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,2,2,NA,8,3,3,3,NA,8,1,NA,2,NA,3,NA,NA,NA,8,1,1,8,NA,8,1,1,1,2,8,8,1,1,5,5,4,5,4,8,NA,8,5,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,8,8,5,3,3,3,1,3,3,3,1,2,7,3,2,NA,2,1,1,8,3,5,1,1,3,3,4,8,8,-2,-2,1,5,3,NA,NA,NA,NA,NA,NA,5,5,5,1,1,1,5,2,3,3,-2,3,3,3,3,4,2,2,32,2,10,3,1,3,1,4,1,-1,1,2,1,1,2,2,2,2,2,2,2,1,9,3,1,15,2,1,2,2,3,-3,1,1,1,5,-1,126,5,65,12,1,1,1,2,2,2,1,1,10,5,36,4,1,3,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,16,1,0,2,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,2,1,2036,36,31097,3,10,97,61,NA,10,3.85,2,4,1,2,2,2,4,3,3,3,3,3,4,1,3,2,2,1,3,2,3,2,3,2,2,NA,3,2,3,3,2,NA,3,3,4,1,310,3.83333333333333,2.5,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FU","Penyffordd",0.796226683008789,1,3
"5",2,2,211571,1,38,1,2307,2,51,1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,-2,1,1240,1,2,-1,-1,-1,2,1,1,2,1,1,2,2,2,2,2,1,4,1,2,2,NA,-2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,2,3,NA,5,2,2,4,NA,4,1,NA,2,NA,8,NA,NA,NA,1,1,2,8,NA,1,1,1,2,2,2,2,1,1,6,5,4,5,4,8,NA,4,3,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,8,4,3,3,3,3,3,3,3,3,1,5,7,3,3,NA,3,1,1,1,8,5,1,3,1,3,4,2,2,-1,3,1,2,3,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,2,8,2,3,-2,3,2,3,3,4,2,2,38,3,11,3,1,3,1,3,1,-1,1,2,1,2,2,2,2,2,1,2,2,1,9,2,1,7,1,1,1,1,3,-3,1,2,1,4,-1,430,8,67,43,10,4,5,3,3,3,2,1,10,4,21,2,2,3,3,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,17,1,1,2,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,1225,45,250997,25,9,97,61,1,10,3.85,3,4,3,2,3,3,4,4,2,4,2,3,2,2,4,3,3,4,2,3,2,2,1,2,2,NA,3,2,3,3,3,NA,3,2,4,1,2509,3.5,3.33333333333333,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FU","Penyffordd",1.10983204123762,1,3
"6",2,2,211581,1,38,1,2307,1,51,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-2,1,1145,1,1,5,26,-2,1,2,2,1,1,1,1,2,2,2,2,2,4,2,-2,-2,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,2,3,NA,3,2,3,4,NA,4,3,NA,2,NA,2,NA,NA,NA,1,2,2,2,NA,1,1,1,1,8,8,8,1,8,3,5,4,5,4,4,NA,1,5,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,4,1,5,1,1,1,1,1,3,3,1,3,7,1,1,NA,1,3,1,1,8,5,3,3,3,2,4,2,2,-1,8,1,5,3,NA,NA,NA,NA,NA,NA,2,5,5,5,5,1,2,8,3,3,-2,3,3,3,3,4,2,2,32,2,10,3,1,3,1,7,1,-1,1,3,1,1,2,2,2,2,1,2,2,1,9,3,0,8,2,1,1,1,3,-3,1,3,1,1,-1,941,9,64,94,22,9,11,7,5,6,10,5,9,1,16,2,2,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,18,1,1,0,0,0,1,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1232,47,250997,25,9,97,61,NA,10,3.85,4,2,1,1,3,3,3,1,3,4,2,3,3,2,2,2,2,1,2,3,3,3,3,2,2,NA,3,3,3,3,3,NA,3,2,1,3,2509,2.33333333333333,2.66666666666667,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FU","Penyffordd",0.588215969682721,1,3
"7",2,2,211591,1,38,1,2307,2,51,1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,-2,1,957,1,1,5,-2,-2,1,2,1,1,2,2,1,2,2,2,2,2,3,2,-2,-2,NA,2,NA,98,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,8,3,2,2,NA,5,8,8,8,NA,4,1,NA,3,NA,2,NA,NA,NA,3,8,1,8,NA,8,1,8,2,2,8,2,1,1,4,5,8,8,3,8,NA,8,4,NA,NA,NA,NA,NA,NA,NA,5,8,8,3,8,8,4,3,3,2,3,3,2,2,3,5,7,2,1,NA,1,4,2,4,3,6,2,4,4,4,4,1,1,1,-1,2,5,3,NA,NA,NA,NA,NA,NA,5,2,2,4,4,2,5,1,2,3,-2,3,3,3,3,4,3,1,38,3,3,4,3,4,3,7,1,-1,1,3,1,2,2,2,2,1,2,2,2,6,9,4,3,5,2,1,1,1,3,-3,2,-2,-2,-1,1,387,2,92,38,9,3,2,2,3,3,5,3,15,1,60,4,1,2,2,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,17,1,0,2,3,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,1,3,1,1,2,1,945,48,31097,3,10,97,61,2,10,3.85,3,5,1,2,3,3,2,1,4,4,2,4,2,3,2,2,1,3,3,8,3,1,3,1,2,NA,3,1,4,4,4,NA,2,3,4,1,310,2.83333333333333,2.5,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FQ","Hope",1.10983204123762,1,NA
"8",2,2,211601,1,38,1,2307,2,51,1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,-2,1,1058,1,1,1,3,-2,1,1,1,1,1,1,1,1,2,2,2,1,2,1,3,2,NA,-2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,5,1,4,NA,5,2,4,4,NA,4,1,NA,2,NA,1,NA,NA,NA,1,2,1,2,NA,2,1,1,1,2,1,2,1,1,6,5,8,5,4,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,5,8,5,4,5,3,4,3,3,3,3,1,2,3,6,5,7,1,1,NA,1,1,1,2,3,4,2,2,3,3,2,-1,2,-1,1,1,2,3,NA,NA,NA,NA,NA,NA,2,2,5,2,5,2,1,1,2,2,2,1,4,1,1,3,2,1,32,2,2,3,1,3,1,3,1,-1,1,1,1,2,2,2,2,2,2,2,2,-1,10,4,3,5,1,1,1,1,3,-3,2,-2,-2,-1,8,874,3,60,87,20,8,12,5,3,4,6,3,9,8,60,4,1,3,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,18,1,1,2,3,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,22,23,0,0,3,1,0,1,1,2,1,1135,37,260997,26,9,97,61,2,10,3.85,2,1,2,4,5,2,4,2,4,3,3,5,5,2,4,3,4,2,2,2,3,4,4,1,4,NA,2,3,4,3,3,NA,1,1,4,1,2609,2.66666666666667,2.5,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FU","Penyffordd",1.10983204123762,1,3
"9",2,2,211611,1,38,1,2307,5,51,1,-1,-1,-1,-1,-1,-1,-1,2,2,1,1,-2,1,1911,1,1,21,26,-2,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,1,NA,-2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,3,2,NA,2,3,2,2,NA,2,1,NA,2,NA,1,NA,NA,NA,1,1,2,1,NA,1,1,1,1,2,1,2,1,1,6,3,4,5,2,8,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,4,5,2,8,1,3,2,1,1,1,1,1,1,5,1,7,4,2,NA,2,2,3,4,1,3,1,1,2,2,4,1,1,1,-1,1,1,3,NA,NA,NA,NA,NA,NA,2,2,1,1,1,1,2,1,2,3,-2,3,3,3,3,4,2,1,55,5,5,3,1,3,1,3,2,-1,2,3,1,2,1,2,2,2,1,2,2,7,9,3,1,30,2,1,2,1,3,-3,1,3,1,3,-1,517,9,35,51,13,5,9,5,3,4,9,5,4,3,70,4,1,3,3,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,16,1,0,2,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,1,1,1946,35,11097,1,10,97,61,1,10,3.85,3,2,2,2,4,2,3,4,4,4,2,4,4,2,3,3,3,2,3,2,2,2,2,2,2,NA,3,2,2,3,2,NA,2,2,3,1,110,3,2.66666666666667,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FU","Penyffordd",1.18119611569883,3,2
"10",2,2,211631,1,38,1,2307,3,51,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,-2,1,1235,1,2,-1,-1,-1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,2,2,NA,-2,NA,1,1,NA,NA,2,2,2,1,2,NA,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,8,3,3,3,NA,3,2,2,3,NA,3,1,NA,3,NA,8,NA,NA,NA,1,1,1,8,NA,1,1,1,1,2,2,2,8,1,6,5,4,5,3,5,NA,3,5,NA,NA,NA,NA,NA,NA,NA,5,4,5,3,5,3,5,3,1,1,1,8,3,1,6,4,7,2,4,NA,4,3,2,4,3,5,2,3,4,3,4,2,2,-1,3,1,5,3,NA,NA,NA,NA,NA,NA,5,5,1,1,2,1,5,8,3,3,-2,3,2,3,3,4,2,2,73,7,15,3,1,3,1,1,1,-1,1,1,1,2,2,2,1,2,2,2,2,1,9,4,3,30,1,1,98,1,9,5,1,3,3,3,-1,459,9,99,45,11,4,6,4,3,3,3,2,17,3,40,4,1,-1,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,16,1,0,2,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,1,1,1,1,1,1328,53,260997,26,9,97,61,NA,10,3.85,2,4,2,2,2,2,2,2,2,3,3,5,4,1,3,3,3,3,3,2,3,2,3,1,2,NA,3,3,3,3,2,NA,3,3,4,3,2609,3.33333333333333,2.5,10,531,"    ALYN AND DEESIDE",48,"Clwyd","NJ","Flintshire",-1,"Skp,Wales","SE","Alyn and Deeside","FT","North and East Broughton",0.550217639040492,1,3
